,Description,NDB_NO_tags
6818,4.0 slices vidalia,"""11294"""
6819,.5 whole beefsteak tomato,"""11529"""
6820,1.0 whole dill pickle,"""11937"""
6821,0.5 cup whole wheat couscous,"""20028"""
6822,1.0 pound lean ground turkey,"""05665"""
6823,1 teaspoon salt,"""02047"""
6824,1 teaspoon black pepper,"""02030"""
6825,1 teaspoon black pepper,"""02030"""
6826,1.0 teaspoon olive oil,"""44005"""
6827,2.0 cups butternut squash ,"""11485"""
6828,1.0 cup broccoli florets,"""11090"""
6829,1 ounce no-sodium-added black beans,"""16014"""
6830,1 ounce enchilada sauce,"""27063"""
6831,0.5 cup salsa,"""06164"""
6832,1.0 cup dark chocolate,"""19904"""
6833,0.5 cup salted butter,"""01001"""
6834,2.0 tablespoons heavy cream,"""01053"""
6835,1.0 teaspoon vanilla ,"""02050"""
6836,1.0 tablespoon coffee-flavored liqueur ,"""14414"""
6837,1.0 pound confectioners sugar,"""19335"""
6838,0.5 whole green onion,"""11291"""
6839,0.5 tablespoon fresh ginger root,"""11216"""
6840,0.5 tablespoon jalapeno peppers,"""11979"""
6841,0.5 tablespoon lime juice,"""09160"""
6842,0.5 tablespoon soy sauce,"""16124"""
6843,0.5 whole clove garlic,"""11215"""
6844,0.5 teaspoon ground allspice,"""02001"""
6845,0.5 teaspoon ground cinnamon,"""02010"""
6846,0.25 teaspoon ground cloves,"""02011"""
6847,14 pound turkey,"""05165"""
6848,1 teaspoon salt,"""02047"""
6849,1 teaspoon black pepper,"""02030"""
6850,1 teaspoon black pepper,"""02030"""
6851,4.0 tablespoons unsalted butter melted,"""01145"""
6852,0.75 cup orange juice,"""42270"""
6853,0.25 cup soy sauce,"""16124"""
6854,2.0 tablespoons molasses,"""19304"""
6855,2.0 tablespoons rice-wine vinegar,"""02068"""
6856,2.0 tablespoons 5-spice powder,"""02031"""
6857,1.0 whole bunch scallions,"""11291"""
6858,1.0 stalk celery,"""11143"""
6859,2.0 tablespoons vegetable oil such as grapeseed,"""04517"""
6860,1.0 tablespoon vegetable oil such as grapeseed,"""04517"""
6861,1 whole turkey neck gizzard and liver,"""05171"""
6862,1 teaspoon salt,"""02047"""
6863,1 teaspoon black pepper,"""02030"""
6864,1 teaspoon black pepper,"""02030"""
6865,1.0 whole shallot,"""11677"""
6866,2.0 whole garlic cloves,"""11215"""
6867,1.0 whole inch piece ginger,"""11216"""
6868,2.0 whole cloves,"""02011"""
6869,1.0 whole whole star anise,"""02002"""
6870,1.0 whole allspice berry,"""02001"""
6871,4.0 cups low-sodium chicken,"""06172"""
6872,4.0 tablespoons unsalted butter,"""01145"""
6873,0.25 cup all-purpose flour,"""20581"""
6874,0.75 cup dry white wine,"""14106"""
6875,0.25 cup orange juice,"""42270"""
6876,2 tablespoons nonstick cooking spray,"""04679"""
6877,1.0 tablespoons all-purpose flour,"""20581"""
6878,1.0 teaspoon baking powder,"""18371"""
6879,1.0 tablespoons sugar,"""19335"""
6880,0.5 teaspoon salt,"""02047"""
6881,0.25 cup vegetable oil,"""04513"""
6882,3.0 whole egg yolks,"""01125"""
6883,1.0 teaspoon almond extract,"""04529"""
6884,5.0 whole egg whites at room temperature,"""01124"""
6885,0.25 teaspoon cream of tartar,"""18373"""
6886,1.0 cup brewed coffee,"""14180"""
6887,1.0 cup sugar,"""19335"""
6888,1.0 pound cream cheese,"""01017"""
6889,3.0 cups heavy whipping cream,"""01053"""
6890,1.5 cups confectioners sugar,"""19335"""
6891,2.0 teaspoons vanilla extract,"""02050"""
6892,2.0 cups heavy whipping cream,"""01053"""
6893,1.0 tablespoon confectioners sugar,"""19335"""
6894,2 tablespoons chocolate shavings ,"""19080"""
6895,1.0 pound shrimp ,"""15270"""
6896,3.0 whole cloves garlic,"""11215"""
6897,3.0 whole scallions,"""11291"""
6898,2.0 tablespoons soy sauce,"""16124"""
6899,1.0 whole egg,"""01123"""
6900,40.0 whole wonton wrappers,"""18368"""
6901,3.0 tablespoons peanut oil,"""44005"""
6902,0.333333333333 cup ponzu,"""16124"""
6903,1.0 whole scallion,"""11291"""
6904,1.0 teaspoon chili sauce ,"""06961"""
6905,0.5 teaspoon ginger,"""11216"""
6906,0.5 teaspoon sugar,"""19335"""
6907,3.0 whole ripe avocados,"""09038"""
6908,3.0 tablespoons squeezed lime juice ,"""09160"""
6909,0.5 whole tomato stemmed,"""11529"""
6910,0.5 whole onion,"""11282"""
6911,2.0 whole cloves garlic,"""11215"""
6912,0.5 whole jalapeno pepper stemmed,"""11979"""
6913,0.5 cup cilantro leaves,"""11165"""
6914,1.0 teaspoon coarse salt such as kosher salt,"""02047"""
6915,1 teaspoon cracked pepper ,"""02030"""
6916,0.5 whole hass avocado,"""09038"""
6917,2.0 tablespoons white balsamic,"""02069"""
6918,1.0 tablespoon fresh oregano,"""02027"""
6919,1.0 tablespoon fat-free plain greek yogurt,"""01287"""
6920,2.0 whole cloves garlic,"""11215"""
6921,12.0 slices whole wheat,"""28318"""
6922,1.0 cup baby arugula,"""11959"""
6923,2.5 ounces tofu,"""16281"""
6924,0.5 cup red onion,"""11282"""
6925,0.333333333333 cup sun-dried tomatoes,"""11955"""
6926,0.5 cup english cucumber,"""11205"""
6927,0.333333333333 cup pepperoncini ,"""31034"""
6928,2.5 ounces provolone,"""01035"""
6929,1.0 whole orange,"""09203"""
6930,3 whole beets,"""11080"""
6931,1.0 tablespoon olive oil,"""44005"""
6932,1 teaspoon salt,"""02047"""
6933,1 teaspoon black pepper,"""02030"""
6934,1.0 tablespoon unsalted butter,"""01145"""
6935,1.0 whole onion,"""11282"""
6936,2.0 tablespoons dry white wine,"""14106"""
6937,1 whole tart dough,"""18014"""
6938,3.0 whole eggs,"""01123"""
6939,0.75 cup heavy cream,"""01053"""
6940,4.0 ounces fresh goat cheese,"""01159"""
6941,1.0 cup walnuts ,"""12155"""
6942,1.0 tablespoon walnut oil ,"""04528"""
6943,2.0 tablespoons fresh parsley,"""11297"""
6944,1.75 cups all-purpose flour,"""20581"""
6945,3.0 tablespoons sugar,"""19335"""
6946,1.0 tablespoon baking powder,"""18371"""
6947,0.25 teaspoon salt,"""02047"""
6948,0.125 teaspoon ground nutmeg,"""02025"""
6949,2.0 whole eggs,"""01123"""
6950,1.25 cups milk,"""01077"""
6951,0.5 teaspoon vanilla extract,"""02050"""
6952,3.0 tablespoons unsalted butter,"""01145"""
6953,4.0 whole macintosh apple,"""09503"""
6954,2 tablespoon maple syrup,"""19353"""
6955,1 teaspoon nonstick vegetable oil spray,"""04679"""
6956,1.0 cup all purpose flour,"""20581"""
6957,1.0 teaspoon baking powder,"""18371"""
6958,1.0 teaspoon ground cinnamon,"""02010"""
6959,0.5 teaspoon ground ginger,"""02021"""
6960,0.5 teaspoon salt,"""02047"""
6961,0.25 teaspoon ground allspice,"""02001"""
6962,1.0 cup shredded butternut squash,"""11485"""
6963,0.75 cup golden brown sugar,"""19334"""
6964,0.333333333333 cup unsalted butter,"""01145"""
6965,1.0 whole egg,"""01123"""
6966,2.0 tablespoons fresh ginger,"""11216"""
6967,1.25 teaspoons vanilla extract,"""02050"""
6968,0.75 cup hazelnuts,"""12120"""
6969,3.0 tablespoons whipping cream,"""01053"""
6970,3.0 ounces white chocolate,"""19087"""
6971,1.0 cup fresh coarse brioche,"""28288"""
6972,2.0 tablespoons thyme,"""02049"""
6973,1.5 cups unsalted butter room temperature divided,"""01145"""
6974,1.0 tablespoon kosher salt plus more,"""02047"""
6975,1.0 whole chicken,"""05011"""
6976,1.0 whole head garlic,"""11215"""
6977,1.0 whole ham,"""10149"""
6978,1.0 tablespoon salt,"""02047"""
6979,2.0 teaspoons cayenne pepper,"""02031"""
6980,2.0 teaspoons dried thyme,"""02042"""
6981,1.33333333333 cups coarsely mangoes,"""09176"""
6982,1.0 cup sweet peppers,"""11333"""
6983,0.333333333333 cup green onions,"""11291"""
6984,0.25 cup lemon juice,"""09152"""
6985,1.0 teaspoon fresh cilantro,"""11165"""
6986,1.0 teaspoon jalapeno pepper,"""11979"""
6987,1.0 whole garlic clove,"""11215"""
6988,1 pinch of salt,"""02047"""
6989,1.0 tablespoon plus 1 teaspoon olive oil,"""44005"""
6990,0.5 cup lemon juice,"""09152"""
6991,1.0 whole garlic clove,"""11215"""
6992,24 ounce skinless catfish fillets,"""15234"""
6993,2 tablespoons nonstick grill spray,"""04679"""
6994,0.375 teaspoon salt,"""02047"""
6995,0.375 teaspoon ground black pepper,"""02030"""
6996,1.0 pound bacon,"""10123"""
6997,1.0 pound sausage,"""07036"""
6998,5 whole to potatoes,"""11352"""
6999,0.5 whole onion,"""11282"""
7000,2.0 whole to cloves garlic,"""11215"""
7001,0.5 teaspoon ground red pepper,"""02031"""
7002,0.5 teaspoon garlic powder,"""02020"""
7003,0.5 teaspoon onion powder,"""02026"""
7004,0.5 teaspoon sea salt,"""02047"""
7005,11 oz package tortillas,"""18363"""
7006,4.0 whole to eggs,"""01123"""
7007,1.0 whole bag mexican blend cheese,"""01270"""
7008,2.0 cups green chile sauce ,"""06962"""
7009,2.0 tablespoons olive oil,"""44005"""
7010,0.333333333333 whole onion,"""11282"""
7011,3.0 whole cloves garlic,"""11215"""
7012,1.0 pound anaheim chiles,"""11333"""
7013,1 pinch sea salt,"""02047"""
7014,2.0 tablespoons cream of mushroom soup,"""06338"""
7015,2.0 tablespoons cream of chicken soup,"""03070"""
7016,12 oz frozen baby peas ,"""11312"""
7017,0.25 cup water,"""14411"""
7018,2.0 tablespoons unsalted butter,"""01145"""
7019,2.0 whole scallions,"""11291"""
7020,1.0 tablespoons fresh lime juice,"""09160"""
7021,2.0 teaspoons curry powder,"""02015"""
7022,1.5 pounds sea scallops tough ligament from side of each,"""90240"""
7023,1.0 tablespoon vegetable oil,"""04513"""
7024,0.25 cup matzoh cake meal ,"""28344"""
7025,1 teaspoon kosher,"""02047"""
7026,1 teaspoon ground black pepper,"""02030"""
7027,6.5 pound beef brisket,"""13904"""
7028,3.0 tablespoons vegetable oil,"""04513"""
7029,16.0 whole shallots leaving root ends intact,"""11677"""
7030,3.0 whole garlic cloves,"""11215"""
7031,2.0 cups pinot noir,"""14099"""
7032,2.0 cups chicken stock,"""06172"""
7033,1.5 cups dried tart cherries,"""09044"""
7034,0.666666666667 cup packed dark brown sugar,"""19334"""
7035,0.666666666667 cup balsamic vinegar,"""02069"""
7036,2.0 whole whole star anise,"""02002"""
7037,2.0 pounds young slim carrots in bunches ,"""11124"""
7038,1.0 whole clove garlic,"""11215"""
7039,1.0 teaspoon olive oil,"""44005"""
7040,1.0 tablespoon butter,"""01001"""
7041,2.0 whole leeks white,"""11246"""
7042,1.0 whole onion,"""11282"""
7043,0.75 cup dry white wine,"""14106"""
7044,8.0 whole purple potatoes,"""11352"""
7045,6.0 cups vegetable broth,"""06700"""
7046,0.5 teaspoon salt,"""02047"""
7047,0.5 teaspoon white pepper,"""02032"""
7048,4.0 sprigs sage,"""02038"""
7049,3.0 cups whole milk,"""01077"""
7050,8.0 ounces yellowfin,"""15127"""
7051,8.0 whole tiger shrimp jumbo,"""15270"""
7052,1.0 teaspoon dried oregano,"""02027"""
7053,1.0 teaspoon ground cumin,"""02014"""
7054,1.0 teaspoon dried coriander,"""02013"""
7055,1.0 teaspoon ground nutmeg,"""02025"""
7056,1.0 teaspoon ground mustard seed,"""02024"""
7057,1.0 whole clove garlic,"""11215"""
7058,0.5 cup red vinegar,"""02068"""
7059,0.5 whole lemon juiced,"""09152"""
7060,0.5 whole orange juiced,"""42270"""
7061,0.5 cup extra-virgin olive oil,"""44005"""
7062,1 teaspoon salt,"""02047"""
7063,1 teaspoon black pepper,"""02030"""
7064,1 teaspoon black pepper,"""02030"""
7065,2.0 whole red bell peppers,"""11821"""
7066,1.0 tablespoon all purpose flour,"""20581"""
7067,1.0 tablespoon butter room temperature,"""01145"""
7068,1.0 tablespoon olive oil,"""44005"""
7069,1.5 cups onions,"""11282"""
7070,2.0 teaspoons garlic,"""11215"""
7071,1.25 cups canned low-salt chicken broth,"""06970"""
7072,0.75 cup dry white wine,"""14106"""
7073,0.5 teaspoon dried thyme,"""02042"""
7074,0.25 teaspoon dried red pepper,"""02031"""
7075,1.0 whole ounce bag spinach leaves stems leaves,"""11457"""
7076,0.5 pound rotini pasta,"""20420"""
7077,0.75 cup parmesan cheese ,"""01033"""
7078,0.5 cup pine nuts toasted,"""12147"""
7079,1.0 whole bottle red wine,"""14096"""
7080,1.0 cup sugar,"""19335"""
7081,3.0 whole packages powdered gelatin,"""19172"""
7082,3.0 tablespoons water,"""14411"""
7083,1.0 whole shallot,"""11677"""
7084,3.0 whole peppercorns,"""02030"""
7085,1.0 whole lemon juiced,"""09152"""
7086,1 tablespoon extra-virgin olive oil,"""44005"""
7087,1 teaspoon salt,"""02047"""
7088,1 teaspoon black pepper,"""02030"""
7089,0.5 cup vanilla ice cream,"""19095"""
7090,1.5 ounces orange juice,"""42270"""
7091,1.0 ounce grand marnier,"""14037"""
7092,2.0 cups cantaloupe,"""09181"""
7093,1.0 cup crumbled feta cheese,"""01019"""
7094,8.0 ounces prosciutto,"""10860"""
7095,2.0 tablespoons olive oil,"""44005"""
7096,0.5 teaspoon granulated sugar,"""19335"""
7097,0.25 teaspoon kosher salt,"""02047"""
7098,1.0 whole bottle white wine,"""14106"""
7099,3.0 ounces brandy,"""14037"""
7100,2.0 ounces triple sec,"""14037"""
7101,1.0 cup orange juice ,"""42270"""
7102,1.0 cup pineapple juice ,"""09409"""
7103,2.0 ounces simple syrup ,"""14637"""
7104,3.0 ounces white peach puree ,"""09370"""
7105,1 whole peaches,"""09236"""
7106,0.5 oz. stirrings simple syrup,"""14637"""
7107,1.5 oz. smirnoff citrus vodka,"""14037"""
7108,1 oz. pomegranate juice,"""09442"""
7109,1.0 cup golden raisins,"""09297"""
7110,0.5 cup rum,"""14037"""
7111,4.0 tablespoons brown sugar,"""19334"""
7112,3.0 tablespoons butter,"""01001"""
7113,0.5 teaspoon lemon juice,"""09152"""
7114,4.0 whole bosc pears,"""09414"""
7115,1.0 pint mascarpone,"""01017"""
7116,1.0 cup light rum,"""14037"""
7117,0.5 cup hot water,"""14411"""
7118,1.0 cup sugar packed,"""19335"""
7119,1.0 cup golden raisins,"""09297"""
7120,1.0 tablespoon lemon juice,"""09152"""
7121,4.0 whole amaretto cookies,"""18204"""
7122,1.0 whole link of spanish chorizo coarsely,"""07019"""
7123,1.0 whole onion,"""11282"""
7124,1.0 whole garlic clove,"""11215"""
7125,0.5 whole green bell pepper,"""11333"""
7126,4 ounce spanish chorizo,"""07019"""
7127,0.5 teaspoon ground cumin,"""02014"""
7128,0.25 teaspoon salt,"""02047"""
7129,2.0 tablespoons olive oil,"""44005"""
7130,2.5 cups chicken broth,"""06194"""
7131,2.0 cans black beans ,"""16014"""
7132,1.0 whole boneless leg of lamb butterflied,"""17300"""
7133,2.0 tbsp garlic,"""11215"""
7134,1.0 cup dijon mustard,"""02046"""
7135,0.5 cup honey,"""19296"""
7136,1.0 cup white wine,"""14106"""
7137,1 teaspoon black pepper,"""02030"""
7138,0.25 cup italian parsley,"""11297"""
7139,1.0 tsp butter,"""01001"""
7140,1.0 tsp garlic,"""11215"""
7141,2.0 whole jalapeno peppers,"""11979"""
7142,1.0 whole jar seedless raspberry preserves,"""19297"""
7143,0.25 cup onion,"""11282"""
7144,0.5 cup dry white wine,"""14106"""
7145,4.0 tablespoons grapeseed oil,"""04517"""
7146,0.5 cup water,"""14411"""
7147,1.0 whole onion,"""11282"""
7148,2.0 whole dried red chiles,"""02031"""
7149,3.0 whole garlic cloves,"""11215"""
7150,2.0 tablespoons fish sauce ,"""06179"""
7151,1.0 teaspoon sugar,"""19335"""
7152,1.0 teaspoon ground black pepper,"""02030"""
7153,2.0 cups wild rice,"""20041"""
7154,8.0 cups low-sodium chicken broth,"""06970"""
7155,3.0 whole heads broccoli,"""11090"""
7156,8.0 tablespoons butter,"""01001"""
7157,1.0 pound white button,"""11260"""
7158,1.0 whole onion,"""11282"""
7159,2.0 whole carrots,"""11124"""
7160,2.0 whole stalks celery,"""11143"""
7161,0.25 cup all-purpose flour,"""20581"""
7162,0.5 cup heavy cream,"""01053"""
7163,1.0 teaspoon salt,"""02047"""
7164,1.0 teaspoon black pepper,"""02030"""
7165,1.0 cup panko breadcrumbs,"""18376"""
7166,2.0 tablespoons fresh parsley,"""11297"""
7167,0.5 cup olive oil,"""44005"""
7168,4.0 whole pieces veal osso bucco,"""17436"""
7169,1 teaspoon salt,"""02047"""
7170,1 teaspoon black pepper,"""02030"""
7171,0.5 cup all-purpose flour,"""20581"""
7172,1.0 whole onion,"""11282"""
7173,1.0 whole leek white,"""11246"""
7174,2.0 whole carrots,"""11124"""
7175,2.0 whole celery stalks,"""11143"""
7176,1.0 cup dry white wine,"""14106"""
7177,4.0 whole sage leaves,"""02038"""
7178,2.0 sprigs rosemary,"""02063"""
7179,1.0 whole bay leaf,"""02004"""
7180,3.0 tablespoons parsley,"""11297"""
7181,2.0 cup plum tomatoes ,"""11529"""
7182,1.0 cup low-sodium chicken broth,"""06970"""
7183,0.75 cup sugar,"""19335"""
7184,0.5 cup water,"""14411"""
7185,2.5 tablespoons fresh lemon juice,"""09152"""
7186,1.5 teaspoons lemon divided,"""09150"""
7187,1.5 teaspoons fresh thyme leaves divided,"""02049"""
7188,1.5 pound firm but ripe bosc pears halved cored cut into 1/2-inch cubes ,"""09252"""
7189,1.0 tablespoons all purpose flour,"""20581"""
7190,1.5 teaspoons baking powder,"""18371"""
7191,0.5 teaspoon salt,"""02047"""
7192,0.75 cup sugar,"""19335"""
7193,0.25 cup unsalted butter room temperature,"""01145"""
7194,1.0 whole egg,"""01123"""
7195,1.0 whole egg yolk,"""01125"""
7196,0.25 cup buttermilk,"""01230"""
7197,0.5 teaspoon vanilla extract,"""02050"""
7198,2.0 tablespoons crème fraîche,"""01056"""
7199,1 cup greek yogurt ice cream,"""19095"""
7200,2.0 pounds broccoli cut into florets,"""11090"""
7201,8.5 ounces bacon cut into 1/2-inch strips,"""10123"""
7202,3.0 tablespoons all-purpose flour,"""20581"""
7203,2.0 whole cloves garlic,"""11215"""
7204,4.0 cups milk,"""01077"""
7205,1.0 teaspoon kosher salt,"""02047"""
7206,1.0 teaspoon ground black pepper,"""02030"""
7207,0.5 teaspoon ground nutmeg,"""02025"""
7208,4.0 cups shredded cheddar cheese,"""01270"""
7209,1.0 cup panko breadcrumbs,"""18376"""
7210,0.25 cup olive oil,"""44005"""
7211,2 tablespoons nonstick cooking spray,"""04679"""
7212,1 cup pineapple,"""09266"""
7213,0.5 tablespoon triple sec,"""14037"""
7214,3.0 tablespoons vodka,"""14037"""
7215,16.0 slices day-old baguette,"""28288"""
7216,3.0 cups half-and-half,"""01049"""
7217,6.0 whole egg yolks,"""01125"""
7218,0.75 tablespoon sugar,"""19335"""
7219,3.0 tablespoons instant-espresso powder,"""14214"""
7220,3.0 whole firm ripe bananas halved crosswise then halved lengthwise,"""09040"""
7221,1.5 tablespoons unsalted butter,"""01145"""
7222,0.75 cup olive oil,"""44005"""
7223,6.0 whole cloves garlic,"""11215"""
7224,1.0 whole ancho chile,"""11819"""
7225,1.0 whole new mexican chile,"""11819"""
7226,1.0 pound flank steak,"""13970"""
7227,1 teaspoon salt,"""02047"""
7228,1 teaspoon black pepper,"""02030"""
7229,12.0 whole flour tortillas,"""18363"""
7230,1.0 pound white cheddar,"""01270"""
7231,8.0 ounces blue cheese crumbled,"""01004"""
7232,1 teaspoon ancho chile powder,"""02009"""
7233,1 bunch cilantro,"""11165"""
7234,1 tablespoon olive oil,"""44005"""
7235,2.0 whole red onions,"""11282"""
7236,1 teaspoon salt,"""02047"""
7237,1 teaspoon black pepper,"""02030"""
7238,3.0 tablespoons olive oil,"""44005"""
7239,1.5 pounds cremini mushrooms,"""11266"""
7240,2.0 whole cloves garlic,"""11215"""
7241,0.5 cup dry white wine,"""14106"""
7242,2.0 tablespoons balsamic vinegar,"""02069"""
7243,1.0 tablespoon thyme,"""02049"""
7244,3.0 tablespoons parsley,"""11297"""
7245,2 teaspoon salt,"""02047"""
7246,2.0 whole red bell peppers,"""11821"""
7247,3.0 tablespoons red onion,"""11282"""
7248,2.0 teaspoons chipotle puree,"""11819"""
7249,2.0 tablespoons fresh lime juice,"""09160"""
7250,2.0 tablespoons honey,"""19296"""
7251,0.75 cup olive oil,"""44005"""
7252,1.5 cups whipping cream,"""01053"""
7253,12.0 ounces bittersweet chocolate,"""19904"""
7254,2.0 tablespoons light corn syrup,"""19350"""
7255,3.0 cups cake flour,"""20084"""
7256,0.75 teaspoon baking soda,"""18372"""
7257,0.75 teaspoon salt,"""02047"""
7258,1.5 teaspoons baking powder,"""18371"""
7259,3.0 sticks butter,"""01001"""
7260,2.33333333333 cups sugar,"""19335"""
7261,3.0 whole egg whites,"""01124"""
7262,2.0 teaspoons vanilla extract,"""02050"""
7263,1.5 cups buttermilk,"""01230"""
7264,2 tablespoons whipped cream,"""01054"""
7265,2.0 tablespoons vegetable oil,"""04513"""
7266,3.5 pound first-cut brisket,"""13805"""
7267,3.0 tablespoons sweet paprika,"""02028"""
7268,1.0 tablespoon kosher salt plus,"""02047"""
7269,1.0 tablespoon ground black pepper,"""02030"""
7270,6.0 whole yellow onions,"""11294"""
7271,1.5 cups sweet vermouth,"""14037"""
7272,4.0 cups low-sodium chicken broth,"""06970"""
7273,8.0 whole carrots,"""11124"""
7274,1.0 cup butter softened,"""01145"""
7275,1.0 cup sugar,"""19335"""
7276,1.0 whole egg yolk,"""01125"""
7277,3.0 cups all-purpose flour,"""20581"""
7278,1.0 cup almonds,"""12061"""
7279,1.25 cups good-quality raspberry jam,"""19297"""
7280,2.25 pounds tomatoes,"""11529"""
7281,2.0 tablespoons extra virgin olive oil,"""04708"""
7282,3.0 whole cloves garlic,"""11215"""
7283,2.0 whole shallots,"""11677"""
7284,1.0 whole thyme,"""02049"""
7285,0.25 teaspoon fresh rosemary,"""02063"""
7286,1.0 tablespoon tomato paste,"""11546"""
7287,1.0 teaspoon sea salt,"""02047"""
7288,0.25 teaspoon ground white pepper,"""02032"""
7289,5.0 whole sheets phyllo dough,"""18338"""
7290,0.333333333333 cup unsalted butter,"""01145"""
7291,1.0 tablespoon unsalted butter,"""01145"""
7292,3 lb uncooked shrimp,"""15270"""
7293,1 tablespoon salt,"""02047"""
7294,1 tablespoon ground white pepper,"""02032"""
7295,0.5 tablespoon cayenne,"""02031"""
7296,36 whole threads saffron,"""02037"""
7297,0.25 teaspoon fresh thyme,"""02049"""
7298,3.0 tablespoons extravirgin olive oil,"""44005"""
7299,6.0 whole fresh basil,"""02044"""
7300,1 tablespoon kosher salt,"""02047"""
7301,8.0 ounces elbow macaroni,"""20120"""
7302,2.0 tablespoons unsalted butter,"""01145"""
7303,2.0 tablespoons all-purpose flour,"""20581"""
7304,1.0 teaspoon mustard powder,"""02024"""
7305,0.25 teaspoon paprika,"""02028"""
7306,1.5 cups whole milk,"""01077"""
7307,1.5 cups sharp yellow cheddar cheese ,"""01270"""
7308,3.0 ounces american cheese ,"""43278"""
7309,2.0 ounces cream cheese,"""01017"""
7310,3.0 ounces pork shoulder,"""10070"""
7311,0.5 whole lemon juice,"""09150"""
7312,3.0 whole cloves garlic,"""11215"""
7313,0.5 ounce barbecue sauce,"""06150"""
7314,1.0 whole slider bun,"""28288"""
7315,2.0 teaspoons unsalted butter,"""01145"""
7316,2.0 whole fresh basil leaves,"""02044"""
7317,0.5 ounce green cabbage,"""11109"""
7318,2.0 teaspoons white vinegar,"""02053"""
7319,0.5 teaspoon sugar,"""19335"""
7320,1 teaspoon kosher salt ,"""02047"""
7321,4.0 ounces garlic chive,"""11156"""
7322,0.5 cup mayonnaise,"""42138"""
7323,2.5 tablespoons ginger,"""11216"""
7324,3.0 ounces spicy hawaiian portuguese sausage ,"""07036"""
7325,2.0 pounds ground chuck,"""13786"""
7326,0.333333333333 cup ripe papaya,"""09226"""
7327,0.333333333333 cup maui onion,"""11294"""
7328,5.0 tablespoons asian style spiced sea salt,"""02047"""
7329,0.666666666667 cup sweet chili sauce,"""06961"""
7330,2.5 tablespoons shoyu,"""16123"""
7331,3.0 tablespoons macadamia nut oil ,"""04528"""
7332,2.0 whole hass avocados,"""09038"""
7333,1.5 tablespoons lemon juice,"""09152"""
7334,0.5 whole ripe papaya,"""09226"""
7335,5.0 cups watercress,"""11591"""
7336,2.0 whole maui onions,"""11294"""
7337,2.0 whole cloves garlic,"""11215"""
7338,0.25 teaspoon red pepper flakes,"""02031"""
7339,2.0 tablespoons shoyu,"""16123"""
7340,2 tablespoons vegetable oil,"""04513"""
7341,6.0 whole hamburger buns,"""28288"""
7342,2.0 cups all purpose flour,"""20581"""
7343,0.5 cup cake flour,"""20084"""
7344,1.0 tablespoon sugar,"""19335"""
7345,0.5 teaspoon coarse kosher salt,"""02047"""
7346,1.5 cup chilled unsalted butter cut into 1/2-inch cubes,"""01145"""
7347,6.0 tablespoons ice water,"""14411"""
7348,6.0 whole eggs,"""01123"""
7349,1.0 cup dark brown sugar,"""19334"""
7350,1.0 cup golden brown sugar,"""19334"""
7351,1.33333333333 cups light corn syrup,"""19350"""
7352,0.5 cup unsalted butter melted,"""01145"""
7353,0.25 cup bourbon ,"""14037"""
7354,1.0 teaspoon coarse kosher salt,"""02047"""
7355,1.0 teaspoon lemon,"""09150"""
7356,4.0 cups pecan halves toasted very coarsely,"""12142"""
7357,6.0 ounces gingersnap cookies ,"""18172"""
7358,1.0 tablespoon crystallized ginger,"""11216"""
7359,1.0 tablespoon packed light brown sugar,"""19334"""
7360,4.0 tablespoons unsalted butter melted,"""01145"""
7361,1 ounce pure pumpkin puree,"""11424"""
7362,1.0 cup canned unsweetened coconut milk,"""12117"""
7363,0.75 cup granulated sugar,"""19335"""
7364,2.0 whole eggs lightly beaten,"""01123"""
7365,0.5 teaspoon pure vanilla extract,"""02050"""
7366,0.5 teaspoon ground ginger,"""02021"""
7367,0.25 teaspoon salt,"""02047"""
7368,0.75 cup heavy cream,"""01053"""
7369,1.0 tablespoon packed light brown sugar,"""19334"""
7370,0.25 teaspoon pumpkin pie spice plus more for topping,"""02035"""
7371,8.0 whole tomatoes,"""11529"""
7372,2.0 teaspoons coarse salt,"""02047"""
7373,0.5 teaspoon ground black pepper,"""02030"""
7374,1.0 pound fettuccine,"""20420"""
7375,1.0 pound shrimp ,"""15270"""
7376,1.0 teaspoon red pepper flakes,"""02031"""
7377,0.5 cup tequila,"""14037"""
7378,1.0 whole avocado seed,"""09038"""
7379,1.0 whole bunch cilantro,"""11165"""
7380,0.5 pound unsalted butter at room temperature,"""01145"""
7381,0.75 cup sugar,"""19335"""
7382,1.0 teaspoon pure vanilla extract,"""02050"""
7383,2.33333333333 cups all-purpose flour,"""20581"""
7384,0.5 teaspoon kosher salt,"""02047"""
7385,10.0 ounces good raspberry jam such as hero,"""19297"""
7386,0.666666666667 cup good granola without dried fruit,"""25036"""
7387,0.25 cup almonds,"""12061"""
7388,2 tablespoons confectioners sugar,"""19335"""
7389,1.5 cups all-purpose flour,"""20581"""
7390,0.5 cup cocoa powder,"""19165"""
7391,0.5 cup sugar,"""19335"""
7392,0.5 cup malted milk powder,"""14312"""
7393,0.25 teaspoon baking soda,"""18372"""
7394,0.25 teaspoon salt,"""02047"""
7395,1.0 teaspoon vanilla extract,"""02050"""
7396,12.5 tablespoons unsalted butter,"""01145"""
7397,4.0 ounces white chocolate,"""19087"""
7398,2.0 tablespoons malted milk powder,"""14312"""
7399,1 pinch of salt,"""02047"""
7400,0.5 teaspoon vanilla extract,"""02050"""
7401,0.5 cup heavy cream,"""01053"""
7402,2.5 pounds potatoes,"""11352"""
7403,1.0 ounce dried tomatoes ,"""11955"""
